environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
10000,-0.040935009717941284,0.122619055,0.12987107,0.05928571,0.09368042,2.0639431476593018,0.016088128089904785,25.0,0.18190476,0.05550637068226934,0.0,0.105372675,2.3339535476284395e-05,40,0.11404627561569214
20000,-0.05940612778067589,0.08928572,0.11919634,0.0,0.0,1.926889419555664,-0.03735034912824631,25.0,0.08928572,0.05510285992641002,0.0,0.11919634,1.1087884166425307e-05,80,0.04411155730485916
30000,0.03352116420865059,0.039285712,0.08214285,0.08214286,0.17931987,2.0913593769073486,0.04887837916612625,25.0,0.12142857,0.05507581300335005,0.0,0.21201175,1.8702837717672467e-05,120,0.030714429914951324
40000,0.07282981276512146,0.17857143,0.23839268,0.10095239,0.13443086,1.9383785724639893,0.09188561141490936,23.8,0.27952382,0.05278247520327568,3.6,0.33716202,0.008119331682079753,160,0.03811158984899521
50000,0.03665190190076828,0.062222224,0.13063946,0.07,0.1077033,1.5950716733932495,0.04805804789066315,25.0,0.13222222,0.05696269212057814,0.0,0.14126414,2.930925511000076e-05,200,0.022812290117144585
60000,0.04896640405058861,0.044999998,0.09069178,0.10714285,0.11517511,2.312025308609009,0.06281013041734695,25.0,0.15214285,0.05540755180409178,0.0,0.15603669,1.816706221324271e-05,240,0.027687452733516693
70000,0.011633704416453838,0.025,0.074999996,0.02857143,0.085714296,2.2174580097198486,0.01769401878118515,25.0,0.053571425,0.06788697789888828,0.0,0.10744006,1.3543957262843373e-05,280,0.012120629660785198
80000,0.02092674933373928,0.061666667,0.096046865,0.06666667,0.13333336,2.315715789794922,0.029118526726961136,25.0,0.12833333,0.06889216980198398,0.0,0.13704216,1.894709276168012e-05,320,0.01638355292379856
90000,-0.03838774561882019,0.011111111,0.033333335,0.1836508,0.17533189,1.9951608180999756,-0.028918731957674026,25.0,0.1947619,0.0678733273060061,0.0,0.18085776,1.1610245573431398e-05,360,0.018938029184937477
100000,-0.055666789412498474,0.04,0.08,0.11333333,0.1492202,2.3868861198425293,-0.0485045500099659,25.0,0.15333334,0.055108021490741524,0.0,0.18867962,2.095342006069302e-05,400,0.01432447973638773
